event,total_entities,person,organization,location,country,date
4,20,0,1,9,4,2
1,6,0,0,2,1,2
3,12,0,0,5,2,2
7,22,1,1,10,1,2
0,7,0,3,1,1,2
6,21,0,1,10,1,3
2,8,0,0,3,1,2
7,24,0,3,6,4,4
3,15,0,2,6,1,3
2,14,0,1,7,1,3
