event,model_lang,person_model,person_gt,person_ratio,organization_model,organization_gt,organization_ratio,location_model,location_gt,location_ratio,country_model,country_gt,country_ratio,date_model,date_gt,date_ratio,event_model,event_gt,event_ratio
2005 Bangladesh–India border clash,llama_en,2,0,,1,0,,2,0,,2,0,,3,0,,0,0,
Chadian Civil War,llama_en,2,0,,3,0,,1,0,,4,1,4.0,9,3,3.0,2,3,0.6667
Iraqi civil war,llama_en,5,0,,6,5,1.2,0,0,,3,3,1.0,8,4,2.0,3,8,0.375
Operation Astute,llama_en,0,2,0.0,7,3,2.3333,1,1,1.0,1,5,0.2,4,1,4.0,6,0,
2006 Lebanon War,llama_en,1,2,0.5,3,8,0.375,9,3,3.0,2,2,1.0,11,7,1.5714,3,1,3.0
Somalia Civil War,llama_en,4,1,4.0,8,23,0.3478,1,5,0.2,2,2,1.0,3,17,0.1765,8,3,2.6667
War in Darfur,llama_es,1,2,0.5,3,15,0.2,1,3,0.3333,1,2,0.5,3,4,0.75,0,5,0.0
Iraq War,llama_es,2,7,0.2857,3,11,0.2727,0,0,,2,6,0.3333,3,11,0.2727,1,6,0.1667
Mexican Drug War,llama_es,4,5,0.8,5,8,0.625,1,4,0.25,2,2,1.0,4,6,0.6667,1,6,0.1667
Central African Bush War,llama_es,2,1,2.0,3,14,0.2143,1,1,1.0,6,2,3.0,4,6,0.6667,1,2,0.5
2005 Bangladesh–India border clash,llama_es,1,0,,2,0,,2,0,,2,0,,2,0,,2,0,
Chadian Civil War,llama_es,5,0,,1,0,,0,0,,3,1,3.0,7,3,2.3333,1,3,0.3333
Iraqi civil war,llama_es,1,0,,6,5,1.2,0,0,,1,3,0.3333,4,4,1.0,2,8,0.25
Operation Astute,llama_es,1,2,0.5,2,3,0.6667,3,1,3.0,2,5,0.4,2,1,2.0,2,0,
2006 Lebanon War,llama_es,0,2,0.0,4,8,0.5,0,3,0.0,2,2,1.0,2,7,0.2857,0,1,0.0
Somalia Civil War,llama_es,2,1,2.0,5,23,0.2174,2,5,0.4,1,2,0.5,9,17,0.5294,0,3,0.0
