event,total_entities,person,organization,location,country,date
1,10,0,0,1,1,7
1,9,0,0,6,1,1
1,3,0,0,0,1,1
1,3,0,0,0,1,1
1,3,0,0,0,1,1
1,3,0,0,0,1,1
1,4,0,0,1,0,2
0,3,0,0,2,0,1
1,9,0,2,2,3,1
1,5,0,0,0,2,2
